computer	0.058911 -0.140376 0.0911008 0.064501 -0.0301341 0.145005 0.0511416 0.0469726 -0.0729692 0.00204165 -0.0728236 -0.133632 0.126858 -0.12457 -0.03571 0.00687349 0.14709 -0.0601219 0.0221721 0.0619239 0.0455746 -0.0038046 -0.0577413 -0.0296987 -0.211738 -0.0694993 0.026104 0.0417802 0.0201035 -0.0550384 0.0748782 -0.0917277 0.023967 -0.0534892 0.251932 0.00241826 -0.142488 0.0805373 -0.0323809 -0.00537337 0.10976 -0.0215742 -0.0125998 0.00433618 -0.0494904 0.0125016 0.0952175 0.0392137 -0.143836 0.0787676 -0.0458778 -0.0168316 -0.189734 0.0373784 0.13477 -0.0516667 0.0262219 -0.0866469 -0.102784 -0.0305712 -0.0728257 -0.186742 0.0754177 -0.0372189 -0.00394022 0.0962156 0.0301231 -0.101986 -0.0692512 0.0797563 0.211662 0.111838 -0.105985 0.113328 0.0460982 -0.129706 0.384646 0.0375019 -0.00837694 0.0598006 -0.151706 0.0553031 0.0208562 0.0797815 0.00114457 0.066348 0.0629983 -0.0146046 0.0566308 0.118857 -0.147741 0.0903978 -0.18644 -0.0896286 -0.217299 0.045688 -0.0508917 0.0107285 0.0163461 -0.163362
computing	-0.0460889 -0.167994 -0.0327296 0.0980913 0.0399942 0.106395 0.00992137 0.0481446 -0.077202 0.107112 -0.0624016 -0.198744 0.100058 -0.0645858 -0.0675474 0.0924485 0.174522 -0.0416482 0.113814 -7.77663e-05 -0.0156506 -0.0769736 0.0334719 -0.0457898 -0.17006 -0.0941032 0.0434808 0.0231591 0.0630218 -0.0640163 -0.0299019 -0.0970915 -0.0409876 0.0852757 0.235447 -0.00133139 -0.111584 0.121546 -0.0835494 -0.106818 0.0805757 0.0359387 -0.0703419 0.0624113 -0.0575747 -0.0207258 0.136368 0.0873683 -0.140922 0.106919 -0.049252 -0.0357587 -0.179831 -0.0349146 0.0801417 -0.00469696 0.0450973 -0.131534 0.0368967 0.063887 -0.0255157 -0.128921 -0.0469345 -0.0684137 0.0780794 0.136664 0.0454855 -0.205769 -0.0432556 0.100846 0.161753 0.083346 -0.0742892 0.069797 0.0933517 -0.0796101 0.209236 -0.00137445 -0.0575394 0.0341132 -0.219655 0.00539943 0.104964 0.148724 -0.0651038 0.0374557 0.142155 -0.0138931 0.0990405 0.0169512 -0.16452 0.0753557 -0.137289 -0.172179 -0.205562 -0.0283527 0.146145 0.0195704 0.0201669 -0.0990487
software	0.0433798 -0.142271 0.00205142 0.106218 -0.00191838 0.114353 0.0483355 0.0763976 -0.103856 0.029678 -0.174839 -0.115956 0.0552088 -0.165857 -0.0302677 -0.0156818 -0.00820723 -0.0780781 -0.00858548 0.059084 -0.0268181 -0.0398151 -0.00851978 -0.0838246 -0.162173 -0.218048 0.0887689 0.055505 -0.00823144 -0.0298061 -0.00111145 -0.0801818 0.0198173 -0.0618104 0.0768899 -0.000857322 -0.113038 0.157786 -0.0304549 -0.0695317 0.0524218 0.113909 -0.0238089 -0.0502687 0.0155805 0.0166615 0.175946 0.0733188 -0.164747 0.00218089 -0.0575489 -0.101186 -0.196448 0.00358274 0.091192 -0.0788139 0.121742 -0.0802182 0.05898 0.012095 -0.105888 -0.188941 0.047284 -0.0773052 -0.0762235 0.172032 -0.00112371 -0.129922 -0.023403 -0.0750931 0.0369272 0.122296 -0.0134097 0.109341 0.0468924 -0.0606407 0.298455 0.0568934 0.00543927 -0.00261392 -0.114454 -0.0454761 0.0722376 0.166389 0.095351 0.186157 0.14512 -0.0398372 0.112378 0.135409 -0.155505 0.18614 -0.116368 -0.0957503 -0.209176 0.0324832 -0.0187946 0.0432226 0.00869574 -0.0657361
microcomputer	-0.0564982 -0.0660565 0.0936933 0.106067 -0.12845 0.165281 0.00946147 0.0944197 -0.00463852 -0.133376 -0.0356234 -0.193435 0.128495 -0.0400168 0.0462208 0.0510223 0.078023 -0.117315 0.122439 0.0768334 0.069006 -0.0511665 -0.0904838 -0.034378 -0.138417 -0.0153043 0.0700115 0.00413079 0.00829419 0.0159856 -0.0214384 -0.104516 0.113195 -0.00878608 0.250475 -0.0131683 -0.0549983 0.0851383 -0.0305604 -0.098701 0.143003 -0.00469215 0.00197056 -0.0131438 0.112652 -0.0255478 0.0307222 0.162273 -0.140011 0.0449705 -0.199965 -0.0133856 -0.193076 0.00623946 0.051111 0.0364255 0.125122 -0.13941 0.0221575 0.030687 -0.0986091 -0.216596 0.0314522 0.0279674 -0.0281043 0.145437 0.0928373 -0.0765696 -0.104043 0.0531471 0.146715 0.0460835 -0.0363746 0.118084 0.0968495 -0.0747286 0.232473 0.112165 0.0301315 0.0375274 -0.1893 0.0331204 -0.0422455 0.0811256 0.00382832 0.132428 0.0684911 0.0459529 -0.00919412 0.257393 -0.0228712 0.0571565 -0.11555 -0.132169 -0.168329 -0.0147165 0.0426281 -0.0124925 -0.00859888 -0.129007
workstation	-0.0293719 -0.102866 0.129294 0.114455 -0.017923 0.11275 0.0432469 0.0326752 -0.0189457 -0.0055315 -0.138468 -0.0948299 -0.0093982 -0.052782 -0.0350074 -0.0214876 0.0939705 -0.113057 0.0387544 0.0991146 0.0294147 0.0753711 -0.0931589 -0.081853 -0.206415 -0.0948407 0.132662 0.0257552 -0.0193831 -0.054929 -0.0178451 -0.00235529 0.0936088 0.000867311 0.163819 -0.0024578 -0.0596541 0.129245 -0.125934 -0.0832171 -0.0456531 -0.00402279 0.087114 0.102253 -0.0177259 -0.0638356 0.122793 0.241065 -0.200589 0.106063 -0.113955 -0.0567881 -0.209437 0.0433789 0.134361 -0.0618691 0.0982943 -0.0144596 0.00615436 -0.0179918 -0.0351879 -0.142152 0.0826352 -0.0545812 -0.0234272 0.180631 -0.0217909 -0.151211 0.00532365 -0.0276202 0.125299 0.135518 0.0228117 0.0558272 -0.00945628 -0.174948 0.287392 0.095584 -0.0339809 0.0576575 -0.171536 0.109715 -0.00421718 0.0598787 -0.0674299 0.13224 0.000626642 0.0871757 0.0112278 0.0836302 -0.0905915 0.194204 -0.138252 -0.0793452 -0.0605067 0.095485 -0.0376254 0.0695474 -0.104941 -0.151363
hardware	0.0225772 -0.15073 0.0540187 0.0436665 -0.0057073 0.115772 -0.0287684 0.077056 -0.0105893 0.00282518 -0.191258 -0.065394 0.0711538 -0.183512 0.0484625 -0.0227705 -0.0247625 -0.079279 0.108611 0.107516 0.0171485 -0.0750943 -0.0867537 -0.0138562 -0.169845 -0.0712702 0.075225 -0.00650367 0.0661221 -0.107914 0.116787 0.020686 -0.0099002 -0.0209987 0.160254 0.00618019 -0.0754742 0.12158 0.0362884 -0.0540002 -0.0566842 0.0765139 0.00563294 -0.0965556 0.0685255 -0.0264568 0.0943912 0.113878 -0.204882 0.035898 -0.0421914 -0.0244007 -0.180619 -0.0127551 0.195791 -0.0361613 0.174829 -0.0257021 -0.0157865 0.0395924 -0.161608 -0.05946 0.0857709 0.0499307 -0.0388944 0.0917881 -0.0917235 -0.11354 0.0131643 -0.100957 0.105638 0.185982 -0.143386 0.123929 0.0644687 -0.0190883 0.344041 0.16153 0.0616995 0.0303955 -0.163654 0.0159496 -0.00386372 0.110002 0.0201567 0.174118 0.0305118 0.0494677 0.0511423 0.158542 -0.138118 0.115896 -0.0240087 -0.0944251 -0.18008 0.0318028 0.024645 0.0356641 -0.0377356 -0.107391
realtime	0.0673361 -0.0346612 0.132795 0.122924 0.0264953 0.129217 -0.0255008 0.108491 -0.0696308 0.0812185 -0.0235655 -0.0179441 0.0894032 -0.177856 -0.0406845 -0.12812 0.0325982 0.0991136 0.0326535 0.158616 -0.0245834 0.00357169 -0.0972056 -0.0350876 -0.15522 -0.0902383 0.00982033 0.0848237 -0.00517678 0.0777972 0.169856 -0.134948 0.0646993 -0.0436832 0.12795 0.0662516 -0.0780253 0.169829 -0.163883 0.00446749 0.0936572 0.0416756 -0.0298297 0.0834897 0.05231 0.0660326 0.117464 -0.00955829 -0.0508768 0.0220284 -0.0590611 -0.0699634 -0.204072 0.0424984 0.144917 -0.0681088 0.143118 -0.0535616 0.0359165 0.0412828 -0.103991 -0.111072 0.0818662 -0.0420695 -0.062471 0.0845579 -0.0372417 -0.0970657 0.0697699 -0.0248658 0.285874 0.191556 0.0284122 0.11066 0.0249077 -0.0590491 0.242284 0.0262327 -0.00886059 0.0576968 -0.108644 -0.0662347 0.063552 0.0990096 0.0407816 0.191258 0.0826085 0.00563502 0.14085 0.0276032 -0.169999 0.195462 -0.0996164 -0.0236151 -0.185467 0.0919932 -0.0218699 0.0927108 -0.0539369 -0.0136905
coprocessor	0.017994 -0.0915867 0.0314945 0.0514239 -0.124391 0.0656787 -0.00103989 0.00512716 0.0405662 0.0169368 -0.136595 -0.0961578 0.0981166 -0.165858 0.033457 -0.0037012 0.0105227 -0.130643 0.153538 0.143475 0.0205357 -0.0271716 -0.0366118 -0.0558216 -0.186521 -0.0907057 0.0871816 -0.064532 0.0617583 0.0289546 -0.0154474 -0.0135783 -0.012384 -0.0656069 0.215884 -0.00910547 -0.0359333 0.067696 0.0239388 0.0148066 0.0680524 -0.0155293 3.5893e-05 0.0717927 0.0573537 -0.0262979 -0.105352 0.117676 -0.0926651 0.185361 -0.0576591 -0.0172526 -0.12909 0.0256944 0.122818 0.0199339 0.0618845 -0.0294366 -0.0779249 0.158397 0.0352854 -0.183049 0.0260753 -0.07816 -0.0758938 0.179005 0.0579343 -0.0596371 0.00640836 -0.00855246 0.212128 0.191625 -0.187533 0.149218 0.0478602 -0.0397537 0.352493 0.151787 0.0636327 0.0245184 -0.191441 0.062606 -0.0481009 -0.00950473 -0.0508913 0.0604257 0.00764337 0.0746475 0.0461132 0.112806 -0.0728961 0.00106992 -0.0432293 -0.0748937 -0.0298007 0.129469 0.0806093 0.107127 -0.00803116 -0.247805
desktop	-0.0208513 -0.0809028 0.096263 -0.0097505 -0.0387672 0.0635892 0.0152181 -0.00237585 -0.0978384 -0.07935 -0.187797 -0.112581 -0.0191634 -0.104381 0.00468648 -0.0516448 0.0440014 0.0149263 0.0520822 0.0961483 0.0199195 0.0117383 -0.0767719 -0.0475854 -0.155548 -0.150107 0.136533 0.0827208 -0.0178501 0.00901175 0.0181165 -0.069968 0.0550322 0.0615681 0.0703507 -0.000356497 -0.0966982 0.138935 -0.0110385 -0.0920435 0.0325746 0.139801 -0.0699684 0.112473 0.0264589 -0.0567951 0.0652101 0.13714 -0.266855 0.100223 -0.108736 0.002547 -0.0778153 0.0252361 0.121852 -0.0422854 0.126572 0.00744112 -0.0257841 -0.10944 -0.14248 -0.244273 0.00389961 -0.0237069 0.0062464 0.15677 0.00959715 -0.136396 -0.0432661 -0.0283986 0.129419 0.0412398 -0.0252186 0.0788309 0.0196106 -0.10734 0.300721 0.0902172 -0.097964 -0.0554363 -0.157309 0.0602265 -0.0381805 0.096413 0.0997673 0.103387 0.123236 0.0294187 0.0327302 0.154244 -0.0547125 0.238197 -0.180356 -0.0720224 -0.116978 -0.0491463 0.057175 0.0945681 -0.153538 -0.123211
macintosh	-0.0387367 -0.0587705 0.168277 0.0892112 0.004951 0.0972248 0.0619752 0.0307412 -0.0281284 -0.0750615 -0.0693098 -0.1031 -0.0459948 -0.0819437 -0.0287364 -0.129307 0.0407968 -0.0777261 0.0335951 0.105518 0.0798687 0.0296411 -0.0942143 -0.0123187 -0.0819129 -0.0452196 0.130516 0.0836355 -0.0837231 0.045179 -0.00354942 -0.0722247 0.0142198 -0.0109905 0.208136 -0.0143844 0.00943029 0.0480398 0.0091277 -0.0752805 0.0492077 -0.00225486 0.0176975 -0.0334229 0.0590496 0.0718331 -0.00182854 0.132373 -0.131236 0.0997295 -0.18961 0.0473683 -0.225907 -0.00340044 0.175259 -0.01983 0.114326 -0.147279 -0.109736 -0.0957368 -0.157434 -0.166344 0.0641808 0.0199193 -0.0496883 0.160265 -0.044335 -0.2113 -0.130127 -0.0463207 0.108303 0.018941 -0.108956 0.0847319 0.00544784 -0.10645 0.241595 0.130059 -0.0655575 -0.10503 -0.192743 0.100276 -0.0295465 0.0904861 0.00563016 0.188753 0.0600719 0.136933 0.064335 0.150579 -0.0568111 0.151642 -0.116627 -0.0494871 -0.14605 -0.0227845 0.0703881 0.0883236 -0.0883824 -0.133113
